vi,ts,te,category
0.5,1699261200,1699289999,attraction
0.5,1699347600,1699376399,attraction
0.5,1699434000,1699462799,attraction
0.5,1699520400,1699549199,attraction
0.5,1699606800,1699635599,attraction
0.7,1699693200,1699721999,attraction
0.7,1699779600,1699808399,attraction
0.5,1699254000,1699261199,bus_station
0.2,1699261200,1699289999,bus_station
0.5,1699290000,1699297199,bus_station
0.2,1699297200,1699307999,bus_station
0.5,1699340400,1699347599,bus_station
0.2,1699347600,1699376399,bus_station
0.5,1699376400,1699383599,bus_station
0.2,1699383600,1699394399,bus_station
0.5,1699426800,1699433999,bus_station
0.2,1699434000,1699462799,bus_station
0.5,1699462800,1699469999,bus_station
0.2,1699470000,1699480799,bus_station
0.5,1699513200,1699520399,bus_station
0.2,1699520400,1699549199,bus_station
0.5,1699549200,1699556399,bus_station
0.2,1699556400,1699567199,bus_station
0.5,1699599600,1699606799,bus_station
0.2,1699606800,1699635599,bus_station
0.5,1699635600,1699642799,bus_station
0.2,1699642800,1699653599,bus_station
0.2,1699228800,1699253999,hospital
0.8,1699254000,1699264799,hospital
0.4,1699264800,1699286399,hospital
0.8,1699286400,1699297199,hospital
0.2,1699297200,1699315199,hospital
0.2,1699315200,1699340399,hospital
0.8,1699340400,1699351199,hospital
0.4,1699351200,1699372799,hospital
0.8,1699372800,1699383599,hospital
0.2,1699383600,1699401599,hospital
0.2,1699401600,1699426799,hospital
0.8,1699426800,1699437599,hospital
0.4,1699437600,1699459199,hospital
0.8,1699459200,1699469999,hospital
0.2,1699470000,1699487999,hospital
0.2,1699488000,1699513199,hospital
0.8,1699513200,1699523999,hospital
0.4,1699524000,1699545599,hospital
0.8,1699545600,1699556399,hospital
0.2,1699556400,1699574399,hospital
0.2,1699574400,1699599599,hospital
0.8,1699599600,1699610399,hospital
0.4,1699610400,1699631999,hospital
0.8,1699632000,1699642799,hospital
0.2,1699642800,1699660799,hospital
0.2,1699660800,1699747199,hospital
0.2,1699747200,1699833599,hospital
0.6,1699254000,1699261199,industrial
0.2,1699261200,1699289999,industrial
0.6,1699290000,1699297199,industrial
0.6,1699340400,1699347599,industrial
0.2,1699347600,1699376399,industrial
0.6,1699376400,1699383599,industrial
0.6,1699426800,1699433999,industrial
0.2,1699434000,1699462799,industrial
0.6,1699462800,1699469999,industrial
0.6,1699513200,1699520399,industrial
0.2,1699520400,1699549199,industrial
0.6,1699549200,1699556399,industrial
0.6,1699599600,1699606799,industrial
0.2,1699606800,1699635599,industrial
0.6,1699635600,1699642799,industrial
0.6,1699272000,1699279199,mall
0.7,1699290000,1699300799,mall
0.6,1699358400,1699365599,mall
0.7,1699376400,1699387199,mall
0.6,1699444800,1699451999,mall
0.7,1699462800,1699473599,mall
0.6,1699531200,1699538399,mall
0.7,1699549200,1699559999,mall
0.6,1699617600,1699624799,mall
0.7,1699635600,1699646399,mall
0.2,1699693200,1699732799,mall
0.2,1699779600,1699819199,mall
0.4,1699257600,1699264799,school
0.4,1699286400,1699293599,school
0.4,1699344000,1699351199,school
0.4,1699372800,1699379999,school
0.4,1699430400,1699437599,school
0.4,1699459200,1699466399,school
0.4,1699516800,1699523999,school
0.4,1699545600,1699552799,school
0.4,1699603200,1699610399,school
0.4,1699632000,1699639199,school
0.7,1699254000,1699261199,station
0.3,1699261200,1699289999,station
0.7,1699290000,1699297199,station
0.3,1699297200,1699315199,station
0.7,1699340400,1699347599,station
0.3,1699347600,1699376399,station
0.7,1699376400,1699383599,station
0.3,1699383600,1699401599,station
0.7,1699426800,1699433999,station
0.3,1699434000,1699462799,station
0.7,1699462800,1699469999,station
0.3,1699470000,1699487999,station
0.7,1699513200,1699520399,station
0.3,1699520400,1699549199,station
0.7,1699549200,1699556399,station
0.3,1699556400,1699574399,station
0.7,1699599600,1699606799,station
0.3,1699606800,1699635599,station
0.7,1699635600,1699642799,station
0.3,1699642800,1699660799,station
0.3,1699693200,1699747199,station
0.3,1699779600,1699833599,station
0.8,1699254000,1699261199,university
0.6,1699261200,1699289999,university
0.8,1699290000,1699297199,university
0.8,1699340400,1699347599,university
0.6,1699347600,1699376399,university
0.8,1699376400,1699383599,university
0.8,1699426800,1699433999,university
0.6,1699434000,1699462799,university
0.8,1699462800,1699469999,university
0.8,1699513200,1699520399,university
0.6,1699520400,1699549199,university
0.8,1699549200,1699556399,university
0.8,1699599600,1699606799,university
0.6,1699606800,1699635599,university
0.8,1699635600,1699642799,university
